,precision,recall,f1-score,support
Circuit Breakers,0.9803921568627451,0.9852216748768473,0.9828009828009828,203.0
Disconnectors,0.989010989010989,1.0,0.994475138121547,180.0
Power Transformers,0.9943181818181818,0.9943181818181818,0.9943181818181818,176.0
Surge Arresters,0.994475138121547,0.994475138121547,0.994475138121547,181.0
Wave Traps,1.0,0.9803921568627451,0.9900990099009901,153.0
accuracy,0.9910414333706606,0.9910414333706606,0.9910414333706606,0.9910414333706606
macro avg,0.9916392931626927,0.9908814303358643,0.9912336901526497,893.0
weighted avg,0.9910880020885949,0.9910414333706606,0.9910406191325077,893.0
